,family,level,envios,ventas,devoluciones
3,dress,1,1548203,543687,1004516
7,jumpsuit,1,487502,190260,297242
8,pant,1,2937356,1176652,1760704
11,short,1,631895,273393,358502
12,skirt,1,1961662,738923,1222739
6,jeans,1,3399027,1510481,1888546
1,cardigan,2,1514383,654192,860191
2,coat,2,197338,69778,127560
5,jacket,2,2574149,988888,1585261
13,sweater,2,2536878,1074829,1462049
14,top,2,2515946,1103393,1412553
15,trench,2,109880,34714,75166
16,tshirt,2,1933330,797982,1135348
10,shirt,2,2191488,913182,1278306
0,bag,3,689250,225585,463665
4,fular,3,566536,230738,335798
9,scarf,3,465861,192077,273784
